"type","name","",""
"antigen","GII.4c","-0.244897579784233","-0.792965708137703"
"antigen","SY2012","2.94504023549635","-1.27141030845599"
"antigen","SF2017","3.98773446351933","-2.39976319932692"
"antigen","WI2021","4.01725337404136","-0.759167155876552"
"antigen","AL2018","2.87849161330892","0.0759327270499797"
"antigen","CW1987","-0.541111615915993","0.231061690747599"
"antigen","US95/96","-0.510623727680537","0.236188887160369"
"antigen","FH2002","-0.0839165284730476","-0.451437865962066"
"antigen","DH2006b","1.79137686290276","-0.633135345661631"
"antigen","NO2009","4.64208829996251","-1.00701151202225"
"antigen","YE2006a","-0.150184063164938","-1.34371280380717"
"sera","S_2","0.850487756043065","-1.40173988728443"
"sera","S_4","0.339496845833536","0.0854008090008417"
"sera","S_6","-2.24698350172764","0.44526109418596"
"sera","S_8","-1.90760103274795","0.279026987848306"
"sera","S_10","1.15499185693189","-1.10165948030861"
"sera","S_12","-0.00214416968268791","-2.10595980666761"
"sera","S_14","-1.34236013632072","0.17604195089088"
"sera","S_16","-2.51317652948854","0.377629256724485"
"sera","S_18","-0.836732302362795","-0.0446968278219676"
"sera","S_20","0.931982521999852","-0.652491569604903"
"sera","S_22","-0.941917734471813","-0.212829701162134"
"sera","S_24","-1.6438087402747","0.364952281887074"
"sera","S_28","0.0712099404404435","-0.0212925125321822"
"sera","S_30","0.978294470891787","0.0287175953985191"
"sera","S_32","-0.349038243430334","0.239833964733032"
"sera","S_34","0.268849094092704","0.036024398227122"
"sera","S_36","0.559525425917551","-0.175792704711548"
"sera","S_38","-0.353103999547525","-3.63706353646213"
"sera","S_40","0.632750308008346","-0.227002163685715"
"sera","S_42","1.43987584167101","-0.952741441748356"
"sera","S_44","-1.27980486908501","0.764915964263456"
"sera","S_46","-0.472034331303523","0.463598623179767"
"sera","S_48","-1.19310420113183","0.042111946117477"
"sera","S_50","-0.449136891603538","-0.0772818334884181"
"sera","S_52","-0.898525283077919","-0.0710195852153052"
"sera","S_54","1.27303196171069","-1.15028655702378"
"sera","S_56","-1.76476431583963","-0.401336608548701"
"sera","S_58","-0.725582688555087","-2.51658734007958"
"sera","S_60","0.391630189702043","0.332512685994275"
"sera","S_62","0.931824268891156","-1.11995151109169"
"sera","S_64","-0.509974382019353","0.328351458213817"
"sera","S_66","1.20383163754993","-0.5660536994496"
"sera","S_68","-1.2157790901266","-0.031663452800253"
"sera","S_70","-0.104659942444742","-0.262513716379519"
"sera","S_72","0.899798755359258","-0.619728087656021"
"sera","S_74","-1.41997029405333","-2.26293851128368"
"sera","S_76","-0.11650651845721","0.128791836271683"
"sera","S_78","0.0942813078159059","-0.0632902822608793"
"sera","S_80","1.70284102972333","-0.737765509588178"
"sera","S_82","-0.356161237894533","0.195396195664311"
"sera","S_84","-0.72604816444236","1.02937319236691"
"sera","S_86","-0.0941271313667241","-0.0910541790026799"
"sera","S_88","0.10580842413131","0.130737602091276"
"sera","S_90","0.853409487711401","0.274721828066432"
"sera","S_92","-1.2386564487549","-0.665385141893045"
