"","Sera 1","Sera 2","Distance"
"1","S_2","S_2",0
"2","S_4","S_2",1.57248184754693
"3","S_6","S_2",3.60634729584773
"4","S_8","S_2",3.22986548565078
"5","S_10","S_2",0.427517248902176
"6","S_12","S_2",1.10585120862748
"7","S_14","S_2",2.70147689383421
"8","S_16","S_2",3.80531102229658
"9","S_18","S_2",2.16524303271534
"10","S_20","S_2",0.753667326095508
"11","S_22","S_2",2.15086607511794
"12","S_24","S_2",3.05658571483853
"13","S_28","S_2",1.58521571666154
"14","S_30","S_2",1.43615569007126
"15","S_32","S_2",2.03313239486269
"16","S_34","S_2",1.55095766343506
"17","S_36","S_2",1.26000221111332
"18","S_38","S_2",2.53876051070178
"19","S_40","S_2",1.19474613015593
"20","S_42","S_2",0.74093044179193
"21","S_44","S_2",3.03851020201048
"22","S_46","S_2",2.28660281425095
"23","S_48","S_2",2.50219427787851
"24","S_50","S_2",1.85558976097511
"25","S_52","S_2",2.19769495912289
"26","S_54","S_2",0.491703551992922
"27","S_56","S_2",2.8000625206577
"28","S_58","S_2",1.93051363355446
"29","S_60","S_2",1.79392927790151
"30","S_62","S_2",0.293292204600853
"31","S_64","S_2",2.20092555368629
"32","S_66","S_2",0.907316539657604
"33","S_68","S_2",2.47922732235445
"34","S_70","S_2",1.48665510270581
"35","S_72","S_2",0.783564949070353
"36","S_74","S_2",2.42830039888514
"37","S_76","S_2",1.81041577648008
"38","S_78","S_2",1.53730138148901
"39","S_80","S_2",1.08044809102085
"40","S_82","S_2",2.00171063393975
"41","S_84","S_2",2.89754660266796
"42","S_86","S_2",1.61560957889282
"43","S_88","S_2",1.70382938195695
"44","S_90","S_2",1.67646426134084
"45","S_92","S_2",2.21511666047216
"46","S_2","S_4",1.57248184754693
"47","S_4","S_4",0
"48","S_6","S_4",2.61139426612944
"49","S_8","S_4",2.25542456603197
"50","S_10","S_4",1.44018896106787
"51","S_12","S_4",2.2178322595241
"52","S_14","S_4",1.68429769489368
"53","S_16","S_4",2.86760228273211
"54","S_18","S_4",1.18340204671681
"55","S_20","S_4",0.946321530383146
"56","S_22","S_4",1.31566134085151
"57","S_24","S_4",2.00291040086195
"58","S_28","S_4",0.288723619513803
"59","S_30","S_4",0.641307564655484
"60","S_32","S_4",0.705641671627327
"61","S_34","S_4",0.0861924287100052
"62","S_36","S_4",0.341518122007035
"63","S_38","S_4",3.78634873384183
"64","S_40","S_4",0.428477782879008
"65","S_42","S_4",1.51280311583196
"66","S_44","S_4",1.75609763116113
"67","S_46","S_4",0.895330351387228
"68","S_48","S_4",1.53321227976072
"69","S_50","S_4",0.805238358494711
"70","S_52","S_4",1.24786462863613
"71","S_54","S_4",1.54868043157026
"72","S_56","S_4",2.15982136996764
"73","S_58","S_4",2.81153636692262
"74","S_60","S_4",0.252551312200372
"75","S_62","S_4",1.34302866375165
"76","S_64","S_4",0.883530636086209
"77","S_66","S_4",1.08234357241674
"78","S_68","S_4",1.55967537595735
"79","S_70","S_4",0.56419834237998
"80","S_72","S_4",0.900635881318691
"81","S_74","S_4",2.93435208854289
"82","S_76","S_4",0.458063150113713
"83","S_78","S_4",0.286774651435369
"84","S_80","S_4",1.59257971599714
"85","S_82","S_4",0.704300471775687
"86","S_84","S_4",1.42354136907983
"87","S_86","S_4",0.46815180913278
"88","S_88","S_4",0.238045590686747
"89","S_90","S_4",0.547675681167167
"90","S_92","S_4",1.74764051374417
"91","S_2","S_6",3.60634729584773
"92","S_4","S_6",2.61139426612944
"93","S_6","S_6",0
"94","S_8","S_6",0.377907711433134
"95","S_10","S_6",3.737164647794
"96","S_12","S_6",3.39823950180798
"97","S_14","S_6",0.943833873283153
"98","S_16","S_6",0.274650311244919
"99","S_18","S_6",1.49293911819883
"100","S_20","S_6",3.36316605163553
"101","S_22","S_6",1.46160191289726
"102","S_24","S_6",0.608497574511739
"103","S_28","S_6",2.36467610958728
"104","S_30","S_6",3.25206495738418
"105","S_32","S_6",1.9090302535603
"106","S_34","S_6",2.54889943377753
"107","S_36","S_6",2.87440431778085
"108","S_38","S_6",4.50023932238876
"109","S_40","S_6",2.95716159565567
"110","S_42","S_6",3.94301190823521
"111","S_44","S_6",1.01863327228435
"112","S_46","S_6",1.77504389313585
"113","S_48","S_6",1.12835757444733
"114","S_50","S_6",1.87224558880432
"115","S_52","S_6",1.44391319246242
"116","S_54","S_6",3.8647485261173
"117","S_56","S_6",0.974301295038706
"118","S_58","S_6",3.32974572330731
"119","S_60","S_6",2.64102147211073
"120","S_62","S_6",3.54326252799119
"121","S_64","S_6",1.74093898369038
"122","S_66","S_6",3.59595366172778
"123","S_68","S_6",1.13615120561634
"124","S_70","S_6",2.25621262631197
"125","S_72","S_6",3.32211386483928
