"","Virus 1","Virus 2","Distance"
"1","GII.4c","GII.4c",0
"2","SY2012","GII.4c",3.22561815795528
"3","SF2017","GII.4c",4.52735819122941
"4","WI2021","GII.4c",4.26228496177008
"5","AL2018","GII.4c",3.24199699910452
"6","CW1987","GII.4c",1.06600885027718
"7","US95/96","GII.4c",1.06290618903972
"8","FH2002","GII.4c",0.377566107936612
"9","DH2006b","GII.4c",2.04253747840999
"10","NO2009","GII.4c",4.89167114542716
"11","YE2006a","GII.4c",0.558831829461016
"12","GII.4c","SY2012",3.22561815795528
"13","SY2012","SY2012",0
"14","SF2017","SY2012",1.53635656652003
"15","WI2021","SY2012",1.18829039457241
"16","AL2018","SY2012",1.34898553529735
"17","CW1987","SY2012",3.79613972865812
"18","US95/96","SY2012",3.7702080527502
"19","FH2002","SY2012",3.13798245445149
"20","DH2006b","SY2012",1.31845898889353
"21","NO2009","SY2012",1.71752113718113
"22","YE2006a","SY2012",3.09606865393151
"23","GII.4c","SF2017",4.52735819122941
"24","SY2012","SF2017",1.53635656652003
"25","SF2017","SF2017",0
"26","WI2021","SF2017",1.64086158583331
"27","AL2018","SF2017",2.71283800117554
"28","CW1987","SF2017",5.23752674584601
"29","US95/96","SF2017",5.21377692451371
"30","FH2002","SF2017",4.51379146674099
"31","DH2006b","SF2017",2.81868066356092
"32","NO2009","SF2017",1.53880999663958
"33","YE2006a","SF2017",4.27055174085906
"34","GII.4c","WI2021",4.26228496177008
"35","SY2012","WI2021",1.18829039457241
"36","SF2017","WI2021",1.64086158583331
"37","WI2021","WI2021",0
"38","AL2018","WI2021",1.41215089922088
"39","CW1987","WI2021",4.66468054108269
"40","US95/96","WI2021",4.63599015321513
"41","FH2002","WI2021",4.11269885661001
"42","DH2006b","WI2021",2.22944169244782
"43","NO2009","WI2021",0.672194547377591
"44","YE2006a","WI2021",4.20823340697058
"45","GII.4c","AL2018",3.24199699910452
"46","SY2012","AL2018",1.34898553529735
"47","SF2017","AL2018",2.71283800117554
"48","WI2021","AL2018",1.41215089922088
"49","AL2018","AL2018",0
"50","CW1987","AL2018",3.42312010316661
"51","US95/96","AL2018",3.39290212522899
"52","FH2002","AL2018",3.00898350624758
"53","DH2006b","AL2018",1.2979198789947
"54","NO2009","AL2018",2.06955103781358
"55","YE2006a","AL2018",3.34488711118134
"56","GII.4c","CW1987",1.06600885027718
"57","SY2012","CW1987",3.79613972865812
"58","SF2017","CW1987",5.23752674584601
"59","WI2021","CW1987",4.66468054108269
"60","AL2018","CW1987",3.42312010316661
"61","CW1987","CW1987",0
"62","US95/96","CW1987",0.0309160067297311
"63","FH2002","CW1987",0.821482192680311
"64","DH2006b","CW1987",2.4874362346723
"65","NO2009","CW1987",5.32901366327576
"66","YE2006a","CW1987",1.62257174269742
"67","GII.4c","US95/96",1.06290618903972
"68","SY2012","US95/96",3.7702080527502
"69","SF2017","US95/96",5.21377692451371
"70","WI2021","US95/96",4.63599015321513
"71","AL2018","US95/96",3.39290212522899
"72","CW1987","US95/96",0.0309160067297311
"73","US95/96","US95/96",0
"74","FH2002","US95/96",0.809264842598022
"75","DH2006b","US95/96",2.46067700863348
"76","NO2009","US95/96",5.30056492011419
"77","YE2006a","US95/96",1.62049563556284
"78","GII.4c","FH2002",0.377566107936612
"79","SY2012","FH2002",3.13798245445149
"80","SF2017","FH2002",4.51379146674099
"81","WI2021","FH2002",4.11269885661001
"82","AL2018","FH2002",3.00898350624758
"83","CW1987","FH2002",0.821482192680311
"84","US95/96","FH2002",0.809264842598022
"85","FH2002","FH2002",0
"86","DH2006b","FH2002",1.88407517840105
"87","NO2009","FH2002",4.75854848820445
"88","YE2006a","FH2002",0.89473233475751
"89","GII.4c","DH2006b",2.04253747840999
"90","SY2012","DH2006b",1.31845898889353
"91","SF2017","DH2006b",2.81868066356092
"92","WI2021","DH2006b",2.22944169244782
"93","AL2018","DH2006b",1.2979198789947
"94","CW1987","DH2006b",2.4874362346723
"95","US95/96","DH2006b",2.46067700863348
"96","FH2002","DH2006b",1.88407517840105
"97","DH2006b","DH2006b",0
"98","NO2009","DH2006b",2.87512418604063
"99","YE2006a","DH2006b",2.06750553896657
"100","GII.4c","NO2009",4.89167114542716
"101","SY2012","NO2009",1.71752113718113
"102","SF2017","NO2009",1.53880999663958
"103","WI2021","NO2009",0.672194547377591
"104","AL2018","NO2009",2.06955103781358
"105","CW1987","NO2009",5.32901366327576
"106","US95/96","NO2009",5.30056492011419
"107","FH2002","NO2009",4.75854848820445
"108","DH2006b","NO2009",2.87512418604063
"109","NO2009","NO2009",0
"110","YE2006a","NO2009",4.80408598614604
"111","GII.4c","YE2006a",0.558831829461016
"112","SY2012","YE2006a",3.09606865393151
"113","SF2017","YE2006a",4.27055174085906
"114","WI2021","YE2006a",4.20823340697058
"115","AL2018","YE2006a",3.34488711118134
"116","CW1987","YE2006a",1.62257174269742
"117","US95/96","YE2006a",1.62049563556284
"118","FH2002","YE2006a",0.89473233475751
"119","DH2006b","YE2006a",2.06750553896657
"120","NO2009","YE2006a",4.80408598614604
"121","YE2006a","YE2006a",0
