"","Sera 1","Sera 2","Distance"
"148","S_109","S_97",2.06661069754994
"149","S_110","S_97",2.10212945405678
"150","S_111","S_97",3.2778932548116
"151","S_112","S_97",2.35182577360297
"152","S_113","S_97",3.0173567230431
"153","S_114","S_97",0.246788092105173
"154","S_115","S_97",1.12214621521971
"155","S_116","S_97",0.214494929635001
"156","S_117","S_97",0.534474346260474
"157","S_119","S_97",1.20357562735564
"158","S_120","S_97",3.13578939773929
"159","S_121","S_97",0.661753325162408
"160","S_122","S_97",3.47620517206602
"161","S_123","S_97",2.89129690586469
"162","S_124","S_97",0.516169621290965
"163","S_125","S_97",3.41953412770543
"164","S_126","S_97",0.33064901162242
"165","S_127","S_97",2.29473636060984
"166","S_128","S_97",2.65270719571055
"167","S_129","S_97",3.32789119069801
"168","S_130","S_97",0.975423447235665
"169","S_131","S_97",1.57919612706384
"170","S_132","S_97",3.44108498983921
"171","S_133","S_97",1.43083637661906
"172","S_134","S_97",0.468462900237723
"173","S_135","S_97",0.872197854798295
"174","S_136","S_97",1.02806650287224
"175","S_137","S_97",2.47719523548379
"176","S_138","S_97",1.27524529194968
"177","S_93","S_98",1.12321138040819
"178","S_94","S_98",2.15702265408311
"179","S_95","S_98",3.52473516660658
"180","S_97","S_98",3.45370818304829
"181","S_98","S_98",0
"182","S_99","S_98",1.50562464947514
"183","S_100","S_98",3.0625955255791
"184","S_101","S_98",3.11799055936774
"185","S_102","S_98",2.44459009932224
"186","S_103","S_98",1.25059972158797
"187","S_104","S_98",2.81814972458708
"188","S_105","S_98",2.9005162011562
"189","S_106","S_98",2.40035207441548
"190","S_107","S_98",0.180346525992013
"191","S_108","S_98",2.56366928578735
"192","S_109","S_98",1.42856152775933
"193","S_110","S_98",1.72944968524851
"194","S_111","S_98",0.38183278278058
"195","S_112","S_98",1.32576393204277
"196","S_113","S_98",0.46894843011332
"197","S_114","S_98",3.31265611187993
"198","S_115","S_98",2.37470450808969
"199","S_116","S_98",3.66693413008089
"200","S_117","S_98",2.91933297106625
"201","S_119","S_98",2.25394154086287
"202","S_120","S_98",0.319233574967903
"203","S_121","S_98",2.88972733342491
"204","S_122","S_98",0.186124679104219
"205","S_123","S_98",0.581032925193986
"206","S_124","S_98",3.03839041002678
"207","S_125","S_98",0.188172927337932
"208","S_126","S_98",3.223396319844
"209","S_127","S_98",1.20050110508316
"210","S_128","S_98",0.82088252063509
"211","S_129","S_98",0.126908800153578
"212","S_130","S_98",2.64256186160076
"213","S_131","S_98",1.93231895408249
"214","S_132","S_98",0.40503765198704
"215","S_133","S_98",2.26306568839546
"216","S_134","S_98",3.12870320881022
"217","S_135","S_98",3.31227370281675
"218","S_136","S_98",2.43819663930542
"219","S_137","S_98",1.45555551829621
"220","S_138","S_98",2.31111890592792
"221","S_93","S_99",0.480555509963718
"222","S_94","S_99",2.64641334782368
"223","S_95","S_99",2.91988789426351
"224","S_97","S_99",3.00562211895387
"225","S_98","S_99",1.50562464947514
"226","S_99","S_99",0
"227","S_100","S_99",2.51220521698907
"228","S_101","S_99",2.61156141512095
