"type","name","",""
"antigen","GII.4c","-0.469705562271235","-0.666368858804708"
"antigen","SY2012","-0.960681972411438","2.64053769918555"
"antigen","SF2017","0.87569149696504","3.20858198192087"
"antigen","WI2021","0.393489689925781","3.30751151356026"
"antigen","AL2018","-1.67392139100879","1.68477605327847"
"antigen","CW1987","-1.38098367666749","-1.17095875203082"
"antigen","US95/96","-1.25294309415244","-0.99728274716932"
"antigen","FH2002","-1.01543545530675","-0.621309907390684"
"antigen","DH2006b","-1.66468838743242","1.38439779326439"
"antigen","NO2009","0.188923393510563","3.40297875476965"
"antigen","YE2006a","-0.320548426320525","-0.209803346072055"
"sera","S_93","0.227382204788533","-0.0289647870998819"
"sera","S_94","-1.95985787685732","-0.366360181749432"
"sera","S_95","-1.1981968481843","-2.42391848017653"
"sera","S_97","-1.50915455131953","-2.24759686064124"
"sera","S_98","-0.272228474454396","0.977013828112639"
"sera","S_99","0.680589804964935","-0.188766130332146"
"sera","S_100","-1.08519948342916","-1.9757085584086"
"sera","S_101","-1.20151283341247","-1.999275087383"
"sera","S_102","-1.00739219239572","-1.354413859277"
"sera","S_103","-1.25051836278913","0.197944795216377"
"sera","S_104","-1.11504355100695","-1.71215530322253"
"sera","S_105","-1.72824664893989","-1.5315724886677"
"sera","S_106","-1.57848803711786","-1.03678259558588"
"sera","S_107","-0.450461253147101","1.00454464787641"
"sera","S_108","-1.7606214429699","-1.11034971908345"
"sera","S_109","-1.02133446622159","-0.239385880738263"
"sera","S_110","-1.58669359099911","-0.146897943866486"
"sera","S_111","-0.0332400330705187","0.679220613128035"
"sera","S_112","-1.25827724193395","0.0908096576995443"
"sera","S_113","-0.579897945813209","0.62310405642"
"sera","S_114","-1.27142245102991","-2.18135630737666"
"sera","S_115","-1.3560246443426","-1.13594792328684"
"sera","S_116","-1.60790539364891","-2.43800785291417"
"sera","S_117","-1.32660168700511","-1.7452650195828"
"sera","S_119","-1.00683487558997","-1.15385592507218"
"sera","S_120","-0.411882171192604","0.689947772344737"
"sera","S_121","-1.00574436214529","-1.81806729844667"
"sera","S_122","-0.0929376107031035","0.927042012586646"
"sera","S_123","-0.599379261780386","0.496835087942414"
"sera","S_124","-1.62365092557377","-1.74428616313294"
"sera","S_125","-0.458092981399067","1.00639810351873"
"sera","S_126","-1.20989198053947","-2.1069886012217"
"sera","S_127","-0.93025169945566","-0.0270819535062408"
"sera","S_128","-0.707645714954985","0.281125949673108"
"sera","S_129","-0.302079384479245","0.853665675604751"
"sera","S_130","-1.64409328169348","-1.28155212023727"
"sera","S_131","-1.24965512082682","-0.689867598764391"
"sera","S_132","-0.661891213280057","1.0875509236872"
"sera","S_133","-1.64373926181554","-0.823104076399401"
"sera","S_134","-1.68627701739184","-1.8139090456042"
"sera","S_135","-2.20063725098963","-1.7160135896745"
"sera","S_136","-1.26973359788509","-1.24779771011925"
"sera","S_137","-1.52121531081087","0.229569014463633"
"sera","S_138","-0.652940237850751","-1.30253199299934"
