"","Virus 1","Virus 2","Distance"
"1","GII.4c","GII.4c",0
"2","SY2012","GII.4c",1.23843088739972
"3","SF2017","GII.4c",1.96304764399315
"4","WI2021","GII.4c",1.82892600864169
"5","AL2018","GII.4c",1.01369534498132
"6","CW1987","GII.4c",1.48786872230289
"7","US95/96","GII.4c",1.43523059200025
"8","FH2002","GII.4c",0.597234338952544
"9","DH2006b","GII.4c",0.380651856267027
"10","NO2009","GII.4c",1.8836246604091
"11","YE2006a","GII.4c",0.176396138507625
"12","GII.4c","SY2012",1.23843088739972
"13","SY2012","SY2012",0
"14","SF2017","SY2012",0.72713234870915
"15","WI2021","SY2012",0.59336163301409
"16","AL2018","SY2012",0.30946298494328
"17","CW1987","SY2012",2.48644220274554
"18","US95/96","SY2012",2.43067002277516
"19","FH2002","SY2012",1.72724425204332
"20","DH2006b","SY2012",0.880281661329063
"21","NO2009","SY2012",0.645638716471898
"22","YE2006a","SY2012",1.08270058597319
"23","GII.4c","SF2017",1.96304764399315
"24","SY2012","SF2017",0.72713234870915
"25","SF2017","SF2017",0
"26","WI2021","SF2017",0.134121670208839
"27","AL2018","SF2017",0.973035384163789
"28","CW1987","SF2017",3.17709863437646
"29","US95/96","SF2017",3.12173768227478
"30","FH2002","SF2017",2.45003129163296
"31","DH2006b","SF2017",1.59704113801221
"32","NO2009","SF2017",0.0909714406688064
"33","YE2006a","SF2017",1.80959253347054
"34","GII.4c","WI2021",1.82892600864169
"35","SY2012","WI2021",0.59336163301409
"36","SF2017","WI2021",0.134121670208839
"37","WI2021","WI2021",0
"38","AL2018","WI2021",0.840860885662126
"39","CW1987","WI2021",3.05123836670527
"40","US95/96","WI2021",2.99577420230845
"41","FH2002","WI2021",2.31765673046117
"42","DH2006b","WI2021",1.46318084695545
"43","NO2009","WI2021",0.0694059613918141
"44","YE2006a","WI2021",1.67562052826321
"45","GII.4c","AL2018",1.01369534498132
"46","SY2012","AL2018",0.30946298494328
"47","SF2017","AL2018",0.973035384163789
"48","WI2021","AL2018",0.840860885662126
"49","AL2018","AL2018",0
"50","CW1987","AL2018",2.37201663056848
"51","US95/96","AL2018",2.31631276567679
"52","FH2002","AL2018",1.5546701227947
"53","DH2006b","AL2018",0.636013829047388
"54","NO2009","AL2018",0.902637197369328
"55","YE2006a","AL2018",0.879095364994175
"56","GII.4c","CW1987",1.48786872230289
"57","SY2012","CW1987",2.48644220274554
"58","SF2017","CW1987",3.17709863437646
"59","WI2021","CW1987",3.05123836670527
"60","AL2018","CW1987",2.37201663056848
"61","CW1987","CW1987",0
"62","US95/96","CW1987",0.055841173042592
"63","FH2002","CW1987",0.896600331749196
"64","DH2006b","CW1987",1.82163929339943
"65","NO2009","CW1987",3.08720405789848
"66","YE2006a","CW1987",1.54388727373736
"67","GII.4c","US95/96",1.43523059200025
"68","SY2012","US95/96",2.43067002277516
"69","SF2017","US95/96",3.12173768227478
"70","WI2021","US95/96",2.99577420230845
"71","AL2018","US95/96",2.31631276567679
"72","CW1987","US95/96",0.055841173042592
"73","US95/96","US95/96",0
"74","FH2002","US95/96",0.845608344781648
"75","DH2006b","US95/96",1.76722146419157
"76","NO2009","US95/96",3.03187678294403
"77","YE2006a","US95/96",1.48948778358773
"78","GII.4c","FH2002",0.597234338952544
"79","SY2012","FH2002",1.72724425204332
"80","SF2017","FH2002",2.45003129163296
"81","WI2021","FH2002",2.31765673046117
"82","AL2018","FH2002",1.5546701227947
"83","CW1987","FH2002",0.896600331749196
"84","US95/96","FH2002",0.845608344781648
"85","FH2002","FH2002",0
"86","DH2006b","FH2002",0.954422788500019
"87","NO2009","FH2002",2.36446641889921
"88","YE2006a","FH2002",0.68218676819079
"89","GII.4c","DH2006b",0.380651856267027
"90","SY2012","DH2006b",0.880281661329063
"91","SF2017","DH2006b",1.59704113801221
"92","WI2021","DH2006b",1.46318084695545
"93","AL2018","DH2006b",0.636013829047388
"94","CW1987","DH2006b",1.82163929339943
"95","US95/96","DH2006b",1.76722146419157
"96","FH2002","DH2006b",0.954422788500019
"97","DH2006b","DH2006b",0
"98","NO2009","DH2006b",1.52058207539262
"99","YE2006a","DH2006b",0.277755295778657
"100","GII.4c","NO2009",1.8836246604091
"101","SY2012","NO2009",0.645638716471898
"102","SF2017","NO2009",0.0909714406688064
"103","WI2021","NO2009",0.0694059613918141
"104","AL2018","NO2009",0.902637197369328
"105","CW1987","NO2009",3.08720405789848
"106","US95/96","NO2009",3.03187678294403
"107","FH2002","NO2009",2.36446641889921
"108","DH2006b","NO2009",1.52058207539262
"109","NO2009","NO2009",0
"110","YE2006a","NO2009",1.72820501872017
"111","GII.4c","YE2006a",0.176396138507625
"112","SY2012","YE2006a",1.08270058597319
"113","SF2017","YE2006a",1.80959253347054
"114","WI2021","YE2006a",1.67562052826321
"115","AL2018","YE2006a",0.879095364994175
"116","CW1987","YE2006a",1.54388727373736
"117","US95/96","YE2006a",1.48948778358773
"118","FH2002","YE2006a",0.68218676819079
"119","DH2006b","YE2006a",0.277755295778657
"120","NO2009","YE2006a",1.72820501872017
"121","YE2006a","YE2006a",0
