"","Sera 1","Sera 2","Distance"
"1","S_1","S_1",0
"2","S_3","S_1",2.43074945832196
"3","S_5","S_1",2.49530395609264
"4","S_7","S_1",3.59188122428773
"5","S_9","S_1",8.15506137182651e-11
"6","S_11","S_1",1.85432073534075e-10
"7","S_13","S_1",3.24123309723162
"8","S_15","S_1",2.43350661030756
"9","S_17","S_1",0.480964518445707
"10","S_19","S_1",1.58202789485824
"11","S_21","S_1",2.63500592486036
"12","S_23","S_1",2.46649925160678
"13","S_27","S_1",2.4355117563523
"14","S_29","S_1",0.48043318582906
"15","S_31","S_1",2.8292983849583
"16","S_33","S_1",2.04162407053269
"17","S_35","S_1",1.81479306085781
"18","S_37","S_1",1.66323957163681e-10
"19","S_39","S_1",1.19975408186798
"20","S_41","S_1",4.07399889143947e-10
"21","S_43","S_1",2.77887936055887
"22","S_45","S_1",2.91223788785261
"23","S_47","S_1",3.47302273086556
"24","S_49","S_1",2.85825995780723
"25","S_51","S_1",1.49276075006192
"26","S_53","S_1",0.599646669737603
"27","S_55","S_1",3.07176747756849
"28","S_57","S_1",2.45737182551115e-10
"29","S_59","S_1",1.13599923688509
"30","S_61","S_1",1.76920080405288e-10
"31","S_63","S_1",3.03957306607349
"32","S_65","S_1",2.69363841462364e-10
"33","S_67","S_1",3.33068630867271
"34","S_69","S_1",1.00569633211036
"35","S_71","S_1",1.2016402512254
"36","S_73","S_1",1.162439685826e-10
"37","S_75","S_1",3.12774166286652
"38","S_77","S_1",1.81582713948641
"39","S_79","S_1",2.64686925444001e-10
"40","S_81","S_1",2.64206928352156
"41","S_83","S_1",3.08657829030785
"42","S_85","S_1",3.32441784042925
"43","S_87","S_1",1.99020004564434
"44","S_89","S_1",1.93216814557767
"45","S_91","S_1",2.13836528993708
"46","S_1","S_3",2.43074945832196
"47","S_3","S_3",0
"48","S_5","S_3",0.934863298381655
"49","S_7","S_3",1.75806185009341
"50","S_9","S_3",2.4307494582612
"51","S_11","S_3",2.43074945813652
"52","S_13","S_3",1.85206065966715
"53","S_15","S_3",1.02909763664414
"54","S_17","S_3",1.99399703165027
"55","S_19","S_3",2.19293525417041
"56","S_21","S_3",0.632478140160859
"57","S_23","S_3",1.72186011440075
"58","S_27","S_3",1.40923009098144
"59","S_29","S_3",1.99444287818151
"60","S_31","S_3",1.4591217395149
"61","S_33","S_3",1.32192971668119
"62","S_35","S_3",1.33363003881314
"63","S_37","S_3",2.43074945816112
"64","S_39","S_3",1.45235288453248
"65","S_41","S_3",2.4307494579542
"66","S_43","S_3",0.480432907114929
"67","S_45","S_3",0.876917521548146
"68","S_47","S_3",1.89256314669739
"69","S_49","S_3",1.35771807964337
"70","S_51","S_3",1.04942055723815
"71","S_53","S_3",1.95733553363893
"72","S_55","S_3",2.23024528939744
"73","S_57","S_3",2.43074945811257
"74","S_59","S_3",1.34929071776868
"75","S_61","S_3",2.43074945815468
"76","S_63","S_3",1.76610611803024
"77","S_65","S_3",2.43074945810291
"78","S_67","S_3",1.88435654804205
"79","S_69","S_3",1.5612168504243
"80","S_71","S_3",2.23371027326977
"81","S_73","S_3",2.43074945828996
"82","S_75","S_3",1.66472660620591
