"","S_1","S_3","S_5","S_7","S_9","S_11","S_13","S_15","S_17","S_19","S_21","S_23","S_27","S_29","S_31","S_33","S_35","S_37","S_39","S_41","S_43","S_45","S_47","S_49","S_51","S_53","S_55","S_57","S_59","S_61","S_63","S_65","S_67","S_69","S_71","S_73","S_75","S_77","S_79","S_81","S_83","S_85","S_87","S_89","S_91"
"GII.4c",0,3.85491195134617,2.52277082130488,3.41856037635173,0,0,2.2259049681329,2.23464903410388,1.03948937190185,1.24816905626987,3.39025495632187,1.41249688478323,2.14907213935731,1.03878733050557,1.50728183926018,1.41404955495421,1.01697104121684,0,2.23419732592421,0,3.43162295971329,3.74899785009815,2.72759815343646,1.88913498293054,2.35106759500257,1.29572302453997,1.05175429736012,0,1.38242099872831,0,1.9014793980707,0,2.32348692274392,1.02245230616984,1.32126341160406,0,1.78275783522704,1.19796894739723,0,1.81130290669375,1.74232801221463,1.7795860697965,1.6591196500788,1.66256918834124,0.968244216875411
"SY2012",0,0.21120519396486,3.5668151540109,4.95535930524299,0,0,6.18289089274548,3.52919626799939,1.03948937190185,1.78987835903714,3.39025495632187,2.28701577569073,2.30522176215496,1.03878733050557,4.48639259427596,3.28851867287035,0.897666582808897,0,1.16092409263846,0,3.43162295971329,3.74899785009815,5.39094277280254,4.26903314645524,1.5125141291572,1.29572302453997,5.37764435839991,0,1.67390147728044,0,4.10574485420754,0,4.94413572135732,1.72404585074047,1.5630570788054,0,5.08214904135387,2.84297883178833,0,2.38176949827209,5.86789646399265,5.02976006983714,2.86294724802092,3.67299099382775,2.5776421654406
"SF2017",0,3.40700477004031,3.5668151540109,4.95535930524299,0,0,4.03542137075629,3.52919626799939,1.03948937190185,3.72159036827929,3.39025495632187,6.00674683244058,4.90929308582382,1.03878733050557,4.48639259427596,3.46847302887656,6.38887833881199,0,4.67793135168489,0,3.43162295971329,3.74899785009815,5.39094277280254,4.26903314645524,1.51060137443103,1.29572302453997,5.37764435839991,0,3.6367239284109,0,6.46188866443282,0,5.09251956761611,1.15826521864634,2.33059696105875,0,5.08214904135387,2.84297883178833,0,6.08612840245395,5.86789646399265,7.23983716874035,2.86294724802092,3.67299099382775,4.74065777162389
"WI2021",0,3.40508902181492,3.5668151540109,4.95535930524299,0,0,6.18289089274548,3.52919626799939,1.03948937190185,3.54131802806229,3.39025495632187,6.00674683244058,4.90929308582382,1.03878733050557,4.48639259427596,3.35128017936363,2.90925973034257,0,1.82023183617255,0,3.43162295971329,3.74899785009815,5.39094277280254,4.26903314645524,3.10973042110559,1.29572302453997,5.37764435839991,0,2.23345086907208,0,3.93707273607531,0,6.11790278909403,2.73768676140986,2.69804829013832,0,5.08214904135387,2.84297883178833,0,6.33147186755823,5.86789646399265,5.24110007950519,2.86294724802092,3.67299099382775,4.74065777162389
"AL2018",0,3.30600924810691,3.5668151540109,4.95535930524299,0,0,3.8016075202417,3.52919626799939,1.03948937190185,1.31325937711697,3.39025495632187,2.0722303308545,2.54052473673349,1.03878733050557,4.48639259427596,2.61989280277828,2.29168895157688,0,1.37748381707685,0,3.43162295971329,3.74899785009815,5.39094277280254,4.26903314645524,2.83324645518963,1.29572302453997,4.07839970060383,0,2.13784857704023,0,4.27697366035037,0,4.41280956935914,1.62165476796275,1.70540127133634,0,3.3130120583107,2.84297883178833,0,1.91085949781146,3.51034445937457,4.32910450683743,2.86294724802092,2.54866285882555,2.74680229192179
"CW1987",0,0.0440391691682294,0.439181874285023,0,0,0,0,0.152072518869903,1.03948937190185,1.36441142620888,0,0.224076173763578,0.00673708047919597,1.03878733050557,0.000321850540295543,0.13217664370096,0.0951767967312538,0,0.634612790838207,0,0,0.306054354249421,0,0,0.354494425689506,1.29572302453997,0.959791843514009,0,1.12610876914982,0,0,0,0,0.328974900380431,1.27676860936661,0,0,0.181913351981378,0,0.432104390350705,0,0.71079711264527,0.114486015016886,0.0547523382322934,1.7497029112269
"US95/96",0,0,0,0.256029779569838,0,0,0.0986139822139869,0,1.03948937190185,0.8947050571604,0.19964009611237,0,0,1.03878733050557,0,0,0,0,0,0,0.304815256571258,0,0.100002370398864,0.0529663633682036,0,1.29572302453997,1.20531686674229,0,0.201361508960259,0,0.061863146518796,0,0.00624544283089801,0.574993329198624,1.41034695518649,0,0.107849183350138,0,0,0,0.581384906328428,1.3389703607596,0,0,1.08874502697811
"FH2002",0,2.47801041479728,1.8663754358698,1.32716897062778,0,0,0.207902780753552,1.10293151329729,0,0,2.13959650182346,0.298007791081005,1.75305828797355,0,2.39300144102295,1.13608109815688,1.37854605552717,0,0.298209373434965,0,3.43162295971329,2.12770785755923,1.6581309007196,1.36503083017154,0.2273205048333,1.29572302453997,1.96283229783406,0,0.990047219573793,0,1.43309852808292,0,1.6953333782332,0.552771757327407,0,0,2.29033497019205,1.02801831877262,0,0.565897594762265,0.114345409392,0,1.77412721472234,0.815009998700175,0
"DH2006b",0,3.02710344963024,3.5668151540109,4.95535930524299,0,0,4.36629118621057,3.52919626799939,1.03948937190185,0.758595610137748,3.39025495632187,1.35856903671577,1.63205218749176,1.03878733050557,2.70293593991572,2.07659325058497,0.28035388203382,0,0.621538434692559,0,3.43162295971329,3.74899785009815,3.22583478765801,4.26903314645524,1.30641419863806,1.29572302453997,3.21817662913314,0,1.22451247321082,0,2.72420190302296,0,3.7393911658403,1.32355122842541,1.13190318825704,0,3.63139966581637,2.84297883178833,0,1.53051471669878,2.36454772882515,1.52834226209026,2.86294724802092,0.202454128735165,0.967716433792559
"NO2009",0,3.212580698699,3.5668151540109,4.95535930524299,0,0,6.18289089274548,3.52919626799939,1.03948937190185,4.15842936260448,3.39025495632187,6.00674683244058,4.90929308582382,1.03878733050557,4.48639259427596,4.12233239441633,2.26993726608848,0,1.83547903536737,0,3.43162295971329,3.74899785009815,5.39094277280254,4.26903314645524,2.45850947412467,1.29572302453997,5.37764435839991,0,1.47655647398568,0,6.46188866443282,0,6.11790278909403,2.73768676140986,2.6397069345681,0,5.08214904135387,2.84297883178833,0,6.3277808211328,5.86789646399265,5.27174641669509,2.86294724802092,3.67299099382775,4.74065777162389
